epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,1032.46,0.80575,0.35986,0.9664,0.94262,0.78755,0.84002,0.57286,1.30206,0.4628,1.20931,0.00109531,0.00109531,0.00109531
127,1041.18,0.79526,0.36382,0.96449,0.94663,0.78446,0.83629,0.5864,1.29809,0.49391,1.21508,0.00109408,0.00109408,0.00109408
128,1049.8,0.77754,0.35402,0.94628,0.87372,0.78801,0.83572,0.56654,1.29903,0.5213,1.21505,0.00109284,0.00109284,0.00109284
129,1058.41,0.82115,0.37152,0.98773,0.87984,0.78787,0.86373,0.55761,1.29478,0.51941,1.21907,0.0010916,0.0010916,0.0010916
130,1067.32,0.81968,0.36985,0.96911,0.89559,0.79397,0.84071,0.54886,1.30489,0.51783,1.2292,0.00109036,0.00109036,0.00109036
131,1076.02,0.766,0.35038,0.95472,0.87174,0.79496,0.8293,0.54969,1.29693,0.50948,1.22242,0.00108913,0.00108913,0.00108913
132,1084.62,0.79862,0.3629,0.97457,0.86953,0.79604,0.81672,0.55382,1.31885,0.5175,1.24145,0.00108789,0.00108789,0.00108789
133,1093.26,0.80235,0.35813,0.96107,0.87375,0.79349,0.81105,0.54919,1.30852,0.52972,1.22719,0.00108665,0.00108665,0.00108665
134,1101.98,0.77754,0.35868,0.97012,0.91273,0.79196,0.77493,0.51203,1.30958,0.52294,1.23343,0.00108541,0.00108541,0.00108541
135,1110.63,0.76534,0.35704,0.96153,0.87106,0.79349,0.77156,0.50498,1.33566,0.5234,1.23876,0.00108417,0.00108417,0.00108417
136,1119.42,0.77519,0.3637,0.95064,0.8482,0.79644,0.74183,0.49179,1.3046,0.52115,1.22438,0.00108294,0.00108294,0.00108294
137,1128.16,0.83285,0.37127,0.98644,0.86611,0.7922,0.78359,0.51804,1.29603,0.52091,1.21653,0.0010817,0.0010817,0.0010817
138,1137.04,0.77857,0.36153,0.96728,0.8898,0.79555,0.77513,0.51281,1.3055,0.53143,1.22718,0.00108046,0.00108046,0.00108046
139,1145.68,0.77667,0.35679,0.96083,0.85968,0.79817,0.83048,0.56138,1.32137,0.54024,1.23884,0.00107923,0.00107923,0.00107923
140,1154.47,0.77124,0.34772,0.96109,0.92145,0.79203,0.81764,0.55255,1.30038,0.53329,1.22996,0.00107799,0.00107799,0.00107799
141,1163.3,0.80453,0.35696,0.96942,0.92096,0.79451,0.81462,0.56977,1.30855,0.52795,1.2293,0.00107675,0.00107675,0.00107675
142,1172.03,0.8062,0.36058,0.98882,0.96705,0.79324,0.81248,0.55812,1.30973,0.52191,1.23653,0.00107551,0.00107551,0.00107551
143,1180.77,0.79862,0.35648,0.9622,0.91195,0.8008,0.81537,0.54606,1.30365,0.51368,1.22565,0.00107427,0.00107427,0.00107427
144,1189.53,0.77992,0.35033,0.95679,0.88447,0.80212,0.80925,0.5499,1.2885,0.50822,1.22513,0.00107304,0.00107304,0.00107304
145,1198.37,0.75494,0.34537,0.94555,0.95294,0.80227,0.81633,0.53408,1.30604,0.50557,1.24445,0.0010718,0.0010718,0.0010718
146,1207.09,0.78065,0.35269,0.95303,0.97432,0.80087,0.82726,0.55333,1.30965,0.52293,1.24056,0.00107056,0.00107056,0.00107056
147,1215.79,0.80438,0.35552,0.98504,0.95956,0.80116,0.85025,0.56582,1.28806,0.5251,1.22271,0.00106933,0.00106933,0.00106933
148,1224.51,0.77082,0.34934,0.954,0.92225,0.79506,0.87593,0.56398,1.29301,0.53274,1.21018,0.00106809,0.00106809,0.00106809
149,1233.1,0.76311,0.34044,0.95617,0.92086,0.78765,0.83481,0.56342,1.27165,0.54031,1.19158,0.00106685,0.00106685,0.00106685
150,1241.85,0.77964,0.34326,0.95639,0.89871,0.79404,0.82736,0.5737,1.2637,0.53069,1.17464,0.00106561,0.00106561,0.00106561
151,1250.74,0.76156,0.34208,0.95689,0.90183,0.7951,0.82245,0.58688,1.28217,0.54085,1.19214,0.00106437,0.00106437,0.00106437
152,1259.28,0.78203,0.34739,0.96337,0.91645,0.79309,0.8222,0.57795,1.30087,0.52287,1.20995,0.00106314,0.00106314,0.00106314
153,1268.02,0.7649,0.34778,0.96056,0.93053,0.80123,0.88806,0.58556,1.29337,0.50916,1.22288,0.0010619,0.0010619,0.0010619
154,1276.67,0.75458,0.34545,0.94996,0.85218,0.84182,0.88691,0.59031,1.28666,0.50409,1.22754,0.00106066,0.00106066,0.00106066
155,1285.41,0.76462,0.343,0.94526,0.90859,0.798,0.83433,0.55238,1.2925,0.50737,1.21028,0.00105942,0.00105942,0.00105942
156,1294.02,0.74573,0.34122,0.94972,0.89235,0.79792,0.85017,0.57097,1.26339,0.51548,1.20466,0.00105819,0.00105819,0.00105819
157,1302.61,0.74,0.33151,0.9339,0.88387,0.79788,0.74184,0.49939,1.24765,0.53888,1.18627,0.00105695,0.00105695,0.00105695
158,1311.24,0.73802,0.33189,0.9411,0.88479,0.79496,0.73319,0.49777,1.25318,0.52679,1.19888,0.00105571,0.00105571,0.00105571
159,1319.94,0.73397,0.33367,0.94571,0.87909,0.79675,0.75933,0.49254,1.26628,0.50533,1.21231,0.00105448,0.00105448,0.00105448
